1;perfil;;fa fa-user-o;\N
2;usuarios;;fa fa-users;\N
3;aplazamientos;;fa fa-clock-o;\N
4;citas;;fa fa-calendar-check-o;\N
5;agenda;;fa fa-calendar;\N
11;Mi perfil;/app/perfil/miperfil.xhtml;fa fa-user;1
12;Cambiar Datos;/app/perfil/cambiardatos.xhtml;fa fa-pencil;1
21;Lista usuarios;/app/usuarios/listar.xhtml;fa fa-list;2
22;Nuevo usuario;/app/usuarios/nuevo.xhtml;fa fa-user-plus;2
31;Lista Aplazamientos;/app/aplazamientos/lista.xhtml;fa fa-list;3
32;Registrar aplazamiento;/app/aplazamientos/nuevo.xhtml;fa fa-plus;3
